asset_hash,name,name_candidates,candidate_count,resolved,types,wads,aset_rows,block_count,example_block
0xE7B425B8,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xE7B8A2E6,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xE8181B2C,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xE93E1865,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xEB2F1431,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xEB6014A5,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xEE7CD9AC,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xEEA6C904,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xEF3EC4BD,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xF283D1F8,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xF52AD72F,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xF660E388,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xF9E35422,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xFAF2A7EC,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xFAF39519,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xFC3C4232,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xFC739AA5,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xFDB0F5B2,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xFEFBC483,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
